"","names","years","G","AB","R","H","X2B","HR","RBI","BB","BA","PA","TB","SlugPct","OBP","OPS","m1","m2","m3","m4"
"32","Ty Cobb",24,3035,11436,2247,4189,724,117,1944,1249,0.366,13071,5854,0.512,0.433,0.945,0.998682961509933,0.999503141953766,0.998962128204217,0.999508742923177
"43","Ed Delahanty",16,1837,7510,1600,2597,522,101,1466,742,0.346,8400,3794,0.505,0.411,0.916,0.948985829043121,0.964481150334313,0.954278096431881,0.964660777000291
"66","Billy Hamilton",14,1594,6283,1697,2164,242,40,742,1189,0.344,7608,2716,0.432,0.455,0.887,0.924344971472945,0.953870507127576,0.929783139968232,0.954087312211208
"72","Rogers Hornsby",23,2259,8173,1579,2930,541,301,1584,1038,0.358,9475,4712,0.577,0.434,1.011,0.986533301906049,0.992225449780951,0.988269888402948,0.992269916002241
"1852","Ichiro Suzuki",19,2653,9934,1420,3089,362,117,780,647,0.311,10734,3994,0.402,0.355,0.757,0.572913954927641,0.479889196928371,0.589381505571114,0.480783647770549
