"","names","years","G","AB","R","H","X2B","HR","RBI","BB","BA","PA","TB","SlugPct","OBP","OPS","m1","m2","m3","m4"
"309","Barry Bonds","22","2986","9847","2227","2935","601","762","1996","2558","0.298","12606","5976","0.607","0.444","1.051","0.972808698690899","0.96171522232232","0.975579946946983","0.961950221443074"
"1488","David Ortiz","20","2408","8640","1419","2472","632","541","1768","1319","0.286","10091","4765","0.552","0.38","0.932","0.560520295113317","0.51482701360945","0.566205998548484","0.515076925214511"
"1505","Rafael Palmeiro","20","2831","10472","1663","3020","585","569","1835","1353","0.288","12046","5388","0.515","0.371","0.886","0.729662998137329","0.715588056820975","0.743359464095397","0.716319383039313"
"1598","Manny Ramirez","19","2302","8244","1544","2574","547","555","1831","1329","0.312","9774","4826","0.585","0.411","0.996","0.889495069625421","0.875884029407374","0.896520737789279","0.876256149470721"
"1655","Alex Rodriguez","22","2784","10566","2021","3115","548","696","2086","1338","0.295","12207","5813","0.55","0.38","0.93","0.928670918041515","0.924864010717676","0.935476446079998","0.925214960271914"
"1739","Gary Sheffield","22","2576","9217","1636","2689","467","509","1676","1475","0.292","10947","4737","0.514","0.393","0.907","0.807260844408565","0.813384336228793","0.81615697062312","0.813890165789148"
"1787","Sammy Sosa","18","2354","8813","1475","2408","379","609","1667","929","0.273","9896","4704","0.534","0.344","0.878","0.501314264449416","0.51451198254101","0.505150866706698","0.514580850801293"
"1","HOF Average","18.0063694267516","2161.28662420382","8007.65605095541","1338.36942675159","2419.28025477707","416.859872611465","224.101910828025","1231.64968152866","913.146496815287","0.302292993630573","9109.53503184713","3719.9872611465","0.464114649681529","0.375974522292994","0.840089171974522","0.516974021766447","0.514887852484819","0.519773636805778","0.515027152536856"
