"","names","years","G","AB","R","H","X2B","HR","RBI","BB","BA","PA","TB","SlugPct","OBP","OPS","m1","m2","m3","m4"
"87","Barry Larkin",19,2180,7937,1329,2340,441,198,960,939,0.295,9057,3527,0.444,0.371,0.815,0.237647123544431,0.260109812530441,0.237899513676541,0.260138103944222
"132","Ozzie Smith",19,2573,9396,1257,2460,402,28,793,1072,0.262,10778,3084,0.328,0.337,0.665,0.142843467654511,0.162522445321362,0.138948731552335,0.16231493010052
"141","Alan Trammell",20,2293,8288,1231,2365,412,185,1003,850,0.285,9375,3442,0.415,0.352,0.767,0.18323980547051,0.213472888174475,0.181658128886892,0.213381067292287
"725","Julio Franco",23,2527,8677,1285,2586,407,173,1194,917,0.298,9731,3620,0.417,0.365,0.782,0.587704189953962,0.625408749525552,0.595344271332369,0.62589048483981
