"","names","years","G","AB","R","H","X2B","HR","RBI","BB","BA","PA","TB","SlugPct","OBP","OPS","m1","m2","m3","m4"
"105","Stan Musial",22,3026,10972,1949,3630,725,475,1951,1599,0.331,12712,6134,0.559,0.417,0.976,0.977897987939543,0.977936217731406,0.981042868252581,0.978101045293701
"122","Babe Ruth",22,2503,8398,2174,2873,506,714,2217,2062,0.342,10616,5793,0.69,0.474,1.164,0.997489399977516,0.995904279321241,0.997853879453815,0.995930659457343
"152","Ted Williams",19,2292,7706,1798,2654,525,521,1839,2021,0.344,9791,4884,0.634,0.482,1.116,0.987681646953875,0.982414473196214,0.989114819930191,0.982518456231779
"309","Barry Bonds",22,2986,9847,2227,2935,601,762,1996,2558,0.298,12606,5976,0.607,0.444,1.051,0.972808698690899,0.96171522232232,0.975579946946983,0.961950221443074
"1655","Alex Rodriguez",22,2784,10566,2021,3115,548,696,2086,1338,0.295,12207,5813,0.55,0.38,0.93,0.928670918041515,0.924864010717676,0.935476446079998,0.925214960271914
