"","names","years","G","AB","R","H","X2B","HR","RBI","BB","BA","PA","TB","SlugPct","OBP","OPS","m1","m2","m3","m4"
"158","Bobby Abreu","18","2425","8480","1453","2470","574","288","1363","1476","0.291","10081","4026","0.475","0.395","0.87","0.409717526827817","0.403456919009657","0.415242201147494","0.403912603466962"
"914","Todd Helton","17","2247","7962","1401","2519","592","369","1406","1335","0.316","9450","4292","0.539","0.414","0.953","0.680643080157337","0.677972450970118","0.692129602484262","0.678568244075167"
"1957","Omar Vizquel","24","2968","10586","1445","2877","456","80","951","1028","0.272","12013","3727","0.352","0.336","0.688","0.337569571124426","0.43011060388602","0.34131469595263","0.430304910581221"
"1","HOF Average","18.0063694267516","2161.28662420382","8007.65605095541","1338.36942675159","2419.28025477707","416.859872611465","224.101910828025","1231.64968152866","913.146496815287","0.302292993630573","9109.53503184713","3719.9872611465","0.464114649681529","0.375974522292994","0.840089171974522","0.516974021766447","0.514887852484819","0.519773636805778","0.515027152536856"
